,id,name,data
0,2,Aziende sanitarie locali e Strutture di ricovero,[]
1,12,Pubbliche Amministrazioni Centrali,"[{'count': 5, 'producerName': 'Istituto centrale per la digitalizzazione del patrimonio culturale - Digital Library - Ministero della Cultura'}, {'count': 3, 'producerName': ""Agenzia per L'Italia Digitale""}, {'count': 3, 'producerName': 'Agenzia delle Entrate'}, {'count': 2, 'producerName': 'Ministero delle infrastrutture e dei trasporti'}, {'count': 2, 'producerName': ""Autorita' Nazionale Anticorruzione - A.N.AC.""}, {'count': 1, 'producerName': ""Ministero dell'Interno""}, {'count': 1, 'producerName': ""DPP - Dipartimento per l'amministrazione generale, per le politiche del personale dell'amministrazione civile e per le risorse strumentali e finanziarie - Ministero dell'Interno""}]"
2,11,Enti privati,[]
3,4,Enti Nazionali di Previdenza ed Assistenza Sociale,[]
4,9,Stazioni Appaltanti e Gestori di pubblici servizi,[]
5,5,Province e Città Metropolitane,[]
6,3,Comuni,"[{'count': 13, 'producerName': 'Comune di Brescia'}, {'count': 11, 'producerName': 'Comune di Ancona'}, {'count': 10, 'producerName': 'Comune di Torino'}, {'count': 8, 'producerName': 'Comune di Cortaccia sulla Strada del Vino'}, {'count': 8, 'producerName': 'Comune di Olbia'}, {'count': 8, 'producerName': 'Comune di Jesi'}, {'count': 8, 'producerName': 'Comune di Perugia'}, {'count': 7, 'producerName': 'Comune di Poppi'}, {'count': 7, 'producerName': 'Comune di Ferrara'}, {'count': 6, 'producerName': 'Comune di Senigallia'}]"
7,1,Altre Pubbliche Amministrazioni locali,"[{'count': 6, 'producerName': 'Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura'}]"
8,8,Scuole,[]
9,7,Regioni e Province Autonome,"[{'count': 20, 'producerName': 'Regione Liguria'}, {'count': 4, 'producerName': 'Regione Piemonte'}, {'count': 1, 'producerName': 'Regione Lazio'}, {'count': 1, 'producerName': 'Regione Autonoma Friuli-Venezia Giulia'}, {'count': 1, 'producerName': 'Regione Marche'}]"
10,10,Università e AFAM,[]
11,6,Altre Pubbliche Amministrazioni Centrali,[]
12,0,Totale,"[{'count': 20, 'producerName': 'Regione Liguria'}, {'count': 13, 'producerName': 'Comune di Brescia'}, {'count': 11, 'producerName': 'Comune di Ancona'}, {'count': 10, 'producerName': 'Comune di Torino'}, {'count': 8, 'producerName': 'Comune di Cortaccia sulla Strada del Vino'}, {'count': 8, 'producerName': 'Comune di Olbia'}, {'count': 8, 'producerName': 'Comune di Jesi'}, {'count': 8, 'producerName': 'Comune di Perugia'}, {'count': 7, 'producerName': 'Comune di Poppi'}, {'count': 7, 'producerName': 'Comune di Ferrara'}]"
